"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","01.01.2020 22:00 - 01.01.2020 23:00 (CET)","412","n/e","n/e","33","178","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","29","163"
"BZN|DK2","01.01.2020 23:00 - 02.01.2020 00:00 (CET)","414","n/e","n/e","32","178","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","50","192"
"BZN|DK2","02.01.2020 00:00 - 02.01.2020 01:00 (CET)","390","n/e","n/e","39","167","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","70","219"
"BZN|DK2","02.01.2020 01:00 - 02.01.2020 02:00 (CET)","399","n/e","n/e","40","147","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","44","217"
"BZN|DK2","02.01.2020 02:00 - 02.01.2020 03:00 (CET)","367","n/e","n/e","34","140","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","34","214"
"BZN|DK2","02.01.2020 03:00 - 02.01.2020 04:00 (CET)","320","n/e","n/e","32","138","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","58","228"
"BZN|DK2","02.01.2020 04:00 - 02.01.2020 05:00 (CET)","336","n/e","n/e","32","137","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","62","234"
"BZN|DK2","02.01.2020 05:00 - 02.01.2020 06:00 (CET)","375","n/e","n/e","33","140","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","59","65","264"
"BZN|DK2","02.01.2020 06:00 - 02.01.2020 07:00 (CET)","457","n/e","n/e","34","142","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","56","261"
"BZN|DK2","02.01.2020 07:00 - 02.01.2020 08:00 (CET)","504","n/e","n/e","48","159","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","48","280"
"BZN|DK2","02.01.2020 08:00 - 02.01.2020 09:00 (CET)","518","n/e","n/e","93","164","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","56","308"
"BZN|DK2","02.01.2020 09:00 - 02.01.2020 10:00 (CET)","525","n/e","n/e","106","178","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","63","53","306"
